data_pos,ativo,saldo
2019-10-01,JSRE11 ,"7,581.32"
2019-10-01,Forpus,"23,054.59"
2019-10-01,Previdencia Icatu,"5,929.31"
2019-10-01,Occam Retorno Absoluto,"11,805.70"
2019-10-01,Pre 2021,"1,462.58"
2019-10-01,Previdencia Itau,"11,846.97"
2019-10-01,Selic 2021,"3,119.34"
2019-10-01,Nubank,"21,623.06"
2019-10-01,USD,"3,980.00"
2019-09-01,Occam Retorno Absoluto,"11,660.55"
2019-09-01,PIBB11 ,"7,608.85"
2019-09-01,IPCA,"3,871.97"
2019-09-01,BOVA11 ,"2,009.60"
2019-09-01,BRAX11,"2,565.30"
2019-09-01,Pre 2021,"1,447.67"
2019-09-01,DIVO11 ,"4,824.00"
2019-09-01,THRA11 ,"5,621.60"
2019-09-01,Previdencia Itau,"11,753.72"
2019-09-01,USD,"4,180.00"
2019-09-01,Nubank,"21,539.20"
2019-09-01,Selic 2021,"3,102.66"
2019-09-01,Forpus,"22,630.13"
2019-09-01,JSRE11 ,"7,452.12"
2019-09-01,SBSP3,"5,006.00"
2019-09-01,HGCR11 ,"8,021.30"
2019-09-01,Previdencia Icatu,"5,856.00"
2019-08-01,Cambial,0.00
2019-08-01,USD,"4,150.00"
2019-08-01,HGCR11 ,"8,400.00"
2019-08-01,Forpus,"22,892.18"
2019-08-01,DIVO11 ,"4,772.80"
2019-08-01,THRA11 ,"5,590.00"
2019-08-01,JSRE11 ,"7,585.40"
2019-08-01,Pre 2021,"1,428.73"
2019-08-01,Func DI,0.00
2019-08-01,Previdencia Itau,"11,665.89"
2019-08-01,Previdencia Icatu,"8,272.97"
2019-08-01,BRAX11,"2,517.00"
2019-08-01,BOVA11 ,"1,952.20"
2019-08-01,PIBB11 ,"7,364.18"
2019-08-01,IPCA,"3,761.34"
2019-08-01,Selic 2021,"3,086.91"
2019-07-01,Forpus,"21,815.89"
2019-07-01,JSRE11 ,"7,607.84"
2019-07-01,THRA11 ,"5,515.60"
2019-07-01,Pre 2021,"1,426.00"
2019-07-01,IPCA,"3,879.79"
2019-07-01,USD,"3,830.00"
2019-07-01,Func DI,"8,436.73"
2019-07-01,Selic 2021,"12,797.35"
2019-07-01,DIVO11 ,"4,652.00"
2019-07-01,Cambial,"18,138.88"
2019-07-01,BRAX11,"2,520.00"
2019-07-01,HGCR11 ,"5,765.50"
2019-07-01,BOVA11 ,"1,959.60"
2019-07-01,PIBB11 ,"7,442.44"
2019-06-01,RPAD3,0.00
2019-06-01,BRAX11,"2,566.50"
2019-06-01,Forpus,"20,930.39"
2019-06-01,PIBB11 ,"5,858.16"
2019-06-01,BOVA11 ,"2,005.40"
2019-06-01,DIVO11 ,"4,656.00"
2019-06-01,IPCA,"3,853.11"
2019-06-01,THRA11 ,"5,480.00"
2019-06-01,HGCR11 ,"5,930.50"
2019-06-01,Pre 2021,"1,415.62"
2019-06-01,Func DI,"8,400.54"
2019-06-01,Selic 2021,"12,743.86"
2019-06-01,JSRE11 ,"7,428.68"
2019-06-01,Cambial,"18,168.65"
2019-06-01,USD,"3,810.00"
